names,scores,logfoldchanges,pvals,pvals_adj,Cell_Type
C19orf70,7.347256,0.66973615,2.0231718142067946e-13,1.6084215922944018e-11,CMS3
SLC38A5,7.3449817,1.7234386,2.0578761633443863e-13,1.627071596034422e-11,CMS3
RPS27A,7.3381357,0.58044094,2.1658966734854412e-13,1.7031716830793938e-11,CMS3
KLF2,7.3163047,1.1875888,2.5489258291190936e-13,1.993535557920225e-11,CMS3
S100A11,7.3117557,0.5785113,2.6367430502999815e-13,2.0511309244510985e-11,CMS3
ARFGAP1,7.3054895,1.1433648,2.7625903436115803e-13,2.137535811856468e-11,CMS3
SNHG7,7.3006063,0.75302356,2.8647443070989183e-13,2.204786456351822e-11,CMS3
BAMBI,7.2763,1.0883723,3.4310042851928355e-13,2.6128000527607964e-11,CMS3
MRPL52,7.231278,0.7711951,4.784705264041187e-13,3.624602118607955e-11,CMS3
YWHAG,7.1918974,0.83996916,6.389705441952006e-13,4.8152420853960195e-11,CMS3
RPLP1,7.174593,0.571363,7.252251294985488e-13,5.436933885344302e-11,CMS3
ZBTB7A,7.1498632,0.6766745,8.686432447158267e-13,6.478556241130566e-11,CMS3
C4orf48,7.136573,0.6573969,9.56864823813451e-13,7.063712824365725e-11,CMS3
POLR2J,7.1344547,0.8448202,9.717168066797621e-13,7.136939327842375e-11,CMS3
RAC1,7.0904803,0.66368824,1.3364709704024336e-12,9.71728566369488e-11,CMS3
HES4,7.038769,1.1160562,1.939460324537239e-12,1.3961219619765827e-10,CMS3
MFSD12,7.023159,1.5804561,2.1690676965424017e-12,1.5536752723401984e-10,CMS3
C19orf53,7.020238,0.6393902,2.214905744882308e-12,1.5786931636799072e-10,CMS3
SLC22A18,6.97836,0.75252354,2.9864536599205012e-12,2.1181861767347908e-10,CMS3
IER3IP1,6.962907,2.0236259,3.3332244687604514e-12,2.3526060896826817e-10,CMS3
MACROD1,6.9542103,0.84948975,3.5454298160756757e-12,2.4902341751844153e-10,CMS3
HNF4A,6.9418564,0.57458234,3.869807511199647e-12,2.7049393661617243e-10,CMS3
UBL3,6.93229,0.97221816,4.140821568512709e-12,2.880459003596653e-10,CMS3
ROMO1,6.9271164,0.61860126,4.295048054009052e-12,2.973447382462056e-10,CMS3
TRIB1,6.906802,0.631274,4.957012319665274e-12,3.3991948461249694e-10,CMS3
EIF6,6.8965445,0.7837464,5.328275363710668e-12,3.6365479357325307e-10,CMS3
GTF2F2,6.8922853,1.0780987,5.490317632074599e-12,3.7295495689430687e-10,CMS3
CD81,6.8744903,0.80442977,6.221185522831328e-12,4.197203862348804e-10,CMS3
TMEM258,6.8741336,0.7334188,6.236774002384358e-12,4.197203862348804e-10,CMS3
BOP1,6.8732195,1.3898602,6.276894424076967e-12,4.2046474732393354e-10,CMS3
SLC52A2,6.865147,1.0665114,6.642281304598423e-12,4.4289017601951423e-10,CMS3
PAFAH2,6.8598175,2.098333,6.894857403344389e-12,4.576224393072934e-10,CMS3
SRM,6.847107,1.1892834,7.535838135077436e-12,4.978814702120339e-10,CMS3
PSMA2,6.8426695,1.4408399,7.773089740436916e-12,5.112219793380988e-10,CMS3
IGLC3,6.8354445,0.96836066,8.175116655187274e-12,5.352296963072608e-10,CMS3
KCNK1,6.8332367,1.3382876,8.301972189094104e-12,5.410866468648766e-10,CMS3
DUSP8,6.81707,0.9955458,9.291605576857783e-12,6.001796477301574e-10,CMS3
ARL6IP4,6.7917824,0.51932424,1.1075636444950161e-11,7.122372609865951e-10,CMS3
KLF4,6.7669635,0.5037205,1.3151316407050657e-11,8.382660664917003e-10,CMS3
TRA2A,6.7643547,0.75045073,1.3390478397506992e-11,8.497668067260029e-10,CMS3
NAA10,6.7400484,0.8055913,1.58333845951331e-11,9.91745635095155e-10,CMS3
ADIRF,6.7317533,0.60423017,1.6763089541245344e-11,1.0454532007425815e-09,CMS3
VPS28,6.7121077,0.57436335,1.918332538965306e-11,1.1912598071368674e-09,CMS3
HSPE1,6.7039237,0.5206642,2.0289622452585407e-11,1.2545749883181975e-09,CMS3
TOMM7,6.699999,0.6585323,2.0842090101241786e-11,1.2832519220207122e-09,CMS3
LDLR,6.697457,0.5754369,2.1207769781027106e-11,1.3002339871257678e-09,CMS3
EBPL,6.692618,1.014793,2.192128415523407e-11,1.338308271907518e-09,CMS3
RPS24,6.687846,0.5504537,2.2647931540937755e-11,1.3768610145623042e-09,CMS3
MUC5AC,6.6854153,4.9091873,2.3027057933991654e-11,1.3940523064724905e-09,CMS3
RPL23,6.6767187,0.775251,2.443513724841772e-11,1.4731333368639832e-09,CMS3
RAB2A,6.658545,0.6539359,2.7655197766113294e-11,1.660344632688354e-09,CMS3
GARS,6.6542635,0.8831902,2.8472244763119668e-11,1.6981582716300889e-09,CMS3
CDV3,6.654018,0.7549867,2.8519763633016214e-11,1.6981582716300889e-09,CMS3
SEC61G,6.652301,0.7313347,2.885457610144179e-11,1.7110527115236116e-09,CMS3
RPS25,6.6323657,0.50665534,3.303492433499524e-11,1.950948245726719e-09,CMS3
ITGA6,6.6301355,0.5524615,3.3537860294350463e-11,1.972598782922589e-09,CMS3
RAB22A,6.628196,1.0797242,3.398150429281716e-11,1.9906007514687104e-09,CMS3
RPS11,6.6126084,0.5178306,3.776063296362733e-11,2.1942112383563203e-09,CMS3
ZFAND2A,6.6118054,0.9269581,3.796602179362282e-11,2.1973214773277144e-09,CMS3
EREG,6.580453,1.8034071,4.690171792132844e-11,2.7036691498155426e-09,CMS3
CYCS,6.5720463,0.7827375,4.962846941935547e-11,2.8495012858279937e-09,CMS3
TSC22D1,6.5504827,0.52483726,5.7351352087727195e-11,3.2541831896365674e-09,CMS3
IL1R2,6.5363674,3.543442,6.303095841262798e-11,3.548618432966204e-09,CMS3
CPNE1,6.514693,0.7894527,7.283867269542859e-11,4.06912260706624e-09,CMS3
CHCHD7,6.496073,0.8322729,8.244380206844682e-11,4.587997585109065e-09,CMS3
NDUFA7,6.486685,1.1446102,8.77456494846055e-11,4.864336407635084e-09,CMS3
GLS,6.4605722,0.7937965,1.0430767188691472e-10,5.738508382250073e-09,CMS3
UCHL3,6.4511623,0.9603828,1.1099567182935528e-10,6.083319604920233e-09,CMS3
IGLC2,6.4473715,0.59574294,1.1380676323978472e-10,6.213849272892246e-09,CMS3
POMP,6.434973,0.85514987,1.234953564774337e-10,6.717497416811986e-09,CMS3
CCL15,6.4283724,1.6851497,1.2897750410460486e-10,6.963341443617641e-09,CMS3
ABHD17C,6.427101,1.2425431,1.300601676821778e-10,6.9956898371503e-09,CMS3
PSMG3,6.42476,1.0381995,1.320778474720724e-10,7.077905092864501e-09,CMS3
NR2F6,6.419854,0.683332,1.3640506685580551e-10,7.282822554747785e-09,CMS3
GIPC1,6.4083476,0.7424294,1.4710517594606775e-10,7.825238201336964e-09,CMS3
METRN,6.4070544,1.3149116,1.4835800032408957e-10,7.862974017176747e-09,CMS3
USP53,6.401859,0.71463877,1.5349681742089424e-10,8.105640333076346e-09,CMS3
EIF3J,6.4003425,0.5941253,1.5502906997779403e-10,8.156784049122551e-09,CMS3
NSMF,6.3861156,0.8420445,1.7015269313644132e-10,8.92006998909844e-09,CMS3
GTF3A,6.36366,0.9911153,1.9700193692661178e-10,1.0290328611520383e-08,CMS3
ABHD17A,6.3622327,0.6576426,1.988416566381684e-10,1.0349064496034744e-08,CMS3
TOMM20,6.3586874,0.6988691,2.0348516021276927e-10,1.0552784168883723e-08,CMS3
DEDD2,6.357082,0.9236532,2.0562256648207906e-10,1.061696354384002e-08,CMS3
CEBPG,6.356658,0.5486987,2.0619025197450035e-10,1.061696354384002e-08,CMS3
GJB3,6.3503027,1.7001655,2.1489152354255244e-10,1.102576402176309e-08,CMS3
SSR4,6.3471365,0.55350655,2.1935976114388054e-10,1.1215252240250204e-08,CMS3
ARPC1A,6.3377037,0.96997774,2.332147069321529e-10,1.1881632375356763e-08,CMS3
NDUFB8,6.33088,0.8563607,2.437665888866581e-10,1.2332373337765929e-08,CMS3
TMEM238,6.313933,0.7993314,2.7203213122376963e-10,1.3714400371695898e-08,CMS3
NTS,6.311547,4.799714,2.76260291116248e-10,1.3879201917225669e-08,CMS3
EFHD2,6.3109226,0.8075079,2.7737727797874975e-10,1.3887099775344395e-08,CMS3
MAL2,6.3058157,1.2298518,2.8667969431105644e-10,1.4240186009345083e-08,CMS3
UBE2R2,6.3054366,1.0115483,2.873822872851451e-10,1.4240186009345083e-08,CMS3
KCNK6,6.300375,0.97175056,2.9692665323908847e-10,1.4662906981967137e-08,CMS3
RPL7,6.2817774,0.5504935,3.3472406628065283e-10,1.641736445767717e-08,CMS3
PRPF6,6.27511,0.83665395,3.4938752165397233e-10,1.707867584733556e-08,CMS3
PPP1R35,6.262154,0.8381007,3.796956515446625e-10,1.849769825656472e-08,CMS3
RAD23A,6.2590322,0.62456983,3.873740863614512e-10,1.8808441797194088e-08,CMS3
TRIP10,6.2566905,0.8177309,3.932321839098145e-10,1.8973721671031467e-08,CMS3
EPHA2,6.2566237,0.6854936,3.9340082253849197e-10,1.8973721671031467e-08,CMS3
MAGEA6,6.2559323,25.05555,3.951475609182571e-10,1.899465135855901e-08,CMS3
ACBD3,6.2257395,0.6988743,4.79290179795355e-10,2.2812005300851946e-08,CMS3
DNAJC15,6.2236876,0.5548662,4.856027053979291e-10,2.3036673916074217e-08,CMS3
WDR83OS,6.216686,0.6134348,5.07764681860099e-10,2.400930451579664e-08,CMS3
TMED7,6.208569,1.6014944,5.346924400483886e-10,2.5200211449707277e-08,CMS3
S100A16,6.1994486,0.93603915,5.666130845483633e-10,2.6531795211424817e-08,CMS3
STX10,6.197687,0.97045225,5.729894727584582e-10,2.6743821552716557e-08,CMS3
PER2,6.1936955,0.85236275,5.876973969936907e-10,2.7342101727015145e-08,CMS3
CDA,6.1673155,1.7203587,6.945910014574489e-10,3.2108745048203925e-08,CMS3
HBEGF,6.163079,0.55610234,7.134406651466003e-10,3.287507319747185e-08,CMS3
TMCO1,6.159288,0.76287836,7.307284825648843e-10,3.3564794965813685e-08,CMS3
BRI3,6.1351376,0.7667182,8.508546394249806e-10,3.895891068936723e-08,CMS3
MIB2,6.1309233,0.5257058,8.737060671640463e-10,3.978149891143472e-08,CMS3
LAMTOR4,6.126218,0.5541228,8.999247894479888e-10,4.0818218741451255e-08,CMS3
NDUFS7,6.0989904,0.5906861,1.067402964921803e-09,4.811293925063417e-08,CMS3
PGLS,6.082177,0.6436018,1.1856152590527188e-09,5.311042471589408e-08,CMS3
B4GALT5,6.079189,1.589039,1.2079193641528157e-09,5.3942547160268805e-08,CMS3
NDUFA13,6.078297,0.6271602,1.2146562181075827e-09,5.407649483014959e-08,CMS3
CBX3,6.0705147,0.5727418,1.2750103982351835e-09,5.65893418774996e-08,CMS3
C8G,6.0652742,3.627903,1.3172866582652225e-09,5.8286913328561175e-08,CMS3
FOSL1,6.0631113,1.0888482,1.3351325199161073e-09,5.8896440337396815e-08,CMS3
EIF3H,6.060168,0.671536,1.3597966191702037e-09,5.98021194005279e-08,CMS3
TM4SF1,6.058094,1.3531352,1.377439692064449e-09,6.039446940751671e-08,CMS3
HIGD1A,6.0517163,0.70490676,1.4331065375135202e-09,6.26453730854475e-08,CMS3
SLC7A1,6.0427074,1.0158645,1.5154928917202676e-09,6.584884879970136e-08,CMS3
SCAMP4,6.0388274,0.8828161,1.552381860200139e-09,6.724973992585573e-08,CMS3
TAF10,6.0234184,0.5209776,1.7077096822994235e-09,7.375776535280704e-08,CMS3
STK17A,6.022772,0.8179529,1.7145492770418567e-09,7.383277824261496e-08,CMS3
TRAP1,6.0016994,0.58814985,1.9526317917413533e-09,8.383569553325116e-08,CMS3
ZC3H11A,6.001097,0.55342495,1.959886988110935e-09,8.389823914490272e-08,CMS3
BLCAP,5.996325,0.9088415,2.0183276694093076e-09,8.614508273947868e-08,CMS3
SPTY2D1,5.9806266,1.0217831,2.2228108657746428e-09,9.459367769674502e-08,CMS3
MTPN,5.9721975,0.74159294,2.3407911953315367e-09,9.93223102793314e-08,CMS3
PPP1R14B,5.971194,0.7929501,2.35523636696226e-09,9.964302629700859e-08,CMS3
FOXK1,5.9464865,0.898334,2.739593506487437e-09,1.1556611791652106e-07,CMS3
SLC7A11,5.933263,1.2255855,2.9697269487300876e-09,1.2490982331737106e-07,CMS3
PPP3CA,5.9258595,0.77533054,3.1066795899689037e-09,1.298749348180711e-07,CMS3
C1orf122,5.925436,0.74790573,3.1147005585645637e-09,1.298749348180711e-07,CMS3
SCRIB,5.917542,1.2248468,3.2678846274520623e-09,1.3587075481208013e-07,CMS3
AK1,5.9155574,1.5623698,3.3075362760120096e-09,1.3712533632555233e-07,CMS3
LINC01133,5.906236,0.8981071,3.5001187035884986e-09,1.43872777051767e-07,CMS3
C19orf24,5.901375,0.61273324,3.6048437463924508e-09,1.4775774551431266e-07,CMS3
CYC1,5.889222,0.50889945,3.880179633805505e-09,1.5859412181223687e-07,CMS3
ATXN7L3B,5.888263,0.56142,3.902754282919865e-09,1.590674696325846e-07,CMS3
MRPL23,5.885788,0.7183481,3.9616209303086314e-09,1.6101318326021232e-07,CMS3
GDPD3,5.8823314,1.59875,4.045270229216844e-09,1.6395242281943561e-07,CMS3
PARD6B,5.872074,0.8624054,4.303768308044217e-09,1.7345744749050632e-07,CMS3
PSCA,5.869398,5.400662,4.37380379515943e-09,1.7579046420044945e-07,CMS3
ADGRG1,5.864871,0.52456015,4.49481350528532e-09,1.8015361941266842e-07,CMS3
PLA2G10,5.8595862,0.642941,4.6402160924285685e-09,1.854676426556601e-07,CMS3
PUF60,5.8549256,0.64469975,4.772230447515772e-09,1.9021873924271544e-07,CMS3
SOCS3,5.8374653,0.6345429,5.300086096579094e-09,2.101012211819258e-07,CMS3
C8orf33,5.8254685,1.3353261,5.695258931892732e-09,2.2453597135028867e-07,CMS3
MIA,5.8239074,5.149265,5.748737107200202e-09,2.2602847066326012e-07,CMS3
UBE2M,5.8228374,0.77527606,5.7856898559441605e-09,2.2686489573348525e-07,CMS3
YIPF6,5.818868,0.8871959,5.924750929222738e-09,2.3168978701330755e-07,CMS3
WFDC3,5.81472,3.4034529,6.073534652313956e-09,2.3686785144024428e-07,CMS3
RPS17,5.80667,0.982959,6.372745053831493e-09,2.478689467308814e-07,CMS3
SGMS2,5.8046412,1.058241,6.450403220223376e-09,2.4958103079714034e-07,CMS3
NFKBIB,5.804619,0.62295085,6.451261698675132e-09,2.4958103079714034e-07,CMS3
DNAJC12,5.802188,2.3218482,6.54550508028665e-09,2.525517680177801e-07,CMS3
LARP1B,5.773935,0.53115046,7.74412953046267e-09,2.964280692493766e-07,CMS3
MAFK,5.7734447,1.0091131,7.766720869252318e-09,2.9650840173406805e-07,CMS3
MAGEA3,5.761113,24.847998,8.356106640012723e-09,3.1816975519564233e-07,CMS3
NUDT14,5.7538657,0.7332129,8.72254271344346e-09,3.288362321455235e-07,CMS3
FBXO32,5.7537766,0.7523705,8.72714860348891e-09,3.288362321455235e-07,CMS3
EPS8L1,5.7510114,0.7934402,8.87110981389742e-09,3.325287251224916e-07,CMS3
RGS10,5.7483134,1.740506,9.013812334684822e-09,3.3700478209445656e-07,CMS3
ZBTB43,5.741311,0.937069,9.394620152479914e-09,3.503370076964739e-07,CMS3
NDUFC2,5.740241,1.2668864,9.454194068644608e-09,3.5165227244015123e-07,CMS3
NUDCD3,5.7385907,0.79014033,9.54675729947681e-09,3.541846958105896e-07,CMS3
SLCO4A1,5.737721,1.018578,9.595894492853126e-09,3.550971800948642e-07,CMS3
SPIRE2,5.7336626,0.6562166,9.828470787141965e-09,3.627758770896865e-07,CMS3
C6orf132,5.732971,0.66485494,9.868627766590113e-09,3.633312344905658e-07,CMS3
SYT7,5.726014,1.995136,1.0281771062207132e-08,3.7662517847867085e-07,CMS3
LUC7L2,5.719079,0.6507644,1.0710299779431116e-08,3.913316351226991e-07,CMS3
CSNK1G2,5.7126346,0.6200075,1.1124041875148003e-08,4.0542509292573415e-07,CMS3
PPP1CB,5.709111,0.68656427,1.1356764525855178e-08,4.1161059487769364e-07,CMS3
DNAJC3,5.708977,0.5498742,1.1365694704269739e-08,4.1161059487769364e-07,CMS3
CALU,5.7045846,0.71473944,1.1662722318307337e-08,4.208177786124411e-07,CMS3
CHCHD5,5.688685,0.6834901,1.2802124504857773e-08,4.607809439323063e-07,CMS3
MTIF3,5.684783,0.7715633,1.3097901184768282e-08,4.7025690382732574e-07,CMS3
DNAJC2,5.682731,0.55418175,1.3256047014459757e-08,4.736463283650773e-07,CMS3
CXCL2,5.679476,0.55913365,1.3510832734877763e-08,4.814981252240058e-07,CMS3
NOXO1,5.6777806,0.8444217,1.364533733507946e-08,4.850967712561786e-07,CMS3
LAGE3,5.6766214,0.71936977,1.3738115379623817e-08,4.871980182053358e-07,CMS3
GGCT,5.6683483,0.77331054,1.441806566992612e-08,5.100611055700759e-07,CMS3
MEF2D,5.666118,0.56130075,1.460686419073845e-08,5.154797999409625e-07,CMS3
MRPL55,5.6636434,0.5285959,1.481924303947392e-08,5.217022567838154e-07,CMS3
TIMM13,5.646094,0.54448557,1.6413443999221698e-08,5.708800990979296e-07,CMS3
EIF3E,5.646094,0.7004231,1.6413443999221698e-08,5.708800990979296e-07,CMS3
ESYT2,5.636416,0.5446057,1.7362585461283368e-08,5.995686134589715e-07,CMS3
DDX18,5.6328926,0.53662175,1.7721189083825862e-08,6.097824088717021e-07,CMS3
IRAK1,5.632179,0.57708216,1.779468851225476e-08,6.097824088717021e-07,CMS3
TPSG1,5.624887,1.6570507,1.856293190797041e-08,6.334600513594902e-07,CMS3
UFC1,5.6212525,0.52244943,1.8957811544072836e-08,6.45413118191035e-07,CMS3
MOGAT3,5.615878,0.95802575,1.9556634688090848e-08,6.626813754144883e-07,CMS3
SLC17A9,5.615053,0.71143645,1.9650181484814e-08,6.642955044480696e-07,CMS3
CMIP,5.608988,0.75604373,2.0351338934474997e-08,6.847988907974854e-07,CMS3
MRPL34,5.6020527,0.68425304,2.118280939931698e-08,7.062075327159387e-07,CMS3
UQCC2,5.5998673,0.59269875,2.145158242640906e-08,7.135240140866958e-07,CMS3
PDCD5,5.5881605,0.5556104,2.2948773889918043e-08,7.598302274902155e-07,CMS3
LEFTY1,5.587469,0.9001751,2.3040281480126478e-08,7.611183395797946e-07,CMS3
MIR4435-2HG,5.580467,1.2173158,2.3987353861613317e-08,7.905991412840161e-07,CMS3
PPP2R5C,5.5795527,0.61443466,2.411377113491969e-08,7.913642163170572e-07,CMS3
RNF145,5.5795083,0.6576949,2.41199543434807e-08,7.913642163170572e-07,CMS3
NDUFAF2,5.572328,1.0453873,2.5135778663494956e-08,8.172242863693552e-07,CMS3
AHR,5.571949,0.61907774,2.5190547496076606e-08,8.172242863693552e-07,CMS3
PSMB4,5.570098,0.72025955,2.5459615660771118e-08,8.241055458516718e-07,CMS3
SSNA1,5.5694957,0.57796854,2.5547743549376132e-08,8.251122799462573e-07,CMS3
TNFSF9,5.5510097,0.71259135,2.840241134284876e-08,9.112072942786667e-07,CMS3
UGCG,5.5495157,1.0653043,2.8646189189538794e-08,9.169949366890194e-07,CMS3
PTS,5.548245,0.723817,2.8855179480141582e-08,9.216458982299527e-07,CMS3
TMC7,5.5468845,0.5795026,2.9080474382102004e-08,9.267959996357575e-07,CMS3
MIR22HG,5.5421124,0.9509805,2.988442931427191e-08,9.503248521938466e-07,CMS3
C1GALT1,5.539481,0.66095114,3.033691187349755e-08,9.625981971439387e-07,CMS3
RELB,5.537006,0.51468337,3.0768614780623465e-08,9.741599283607022e-07,CMS3
NFKB1,5.5362477,0.73853284,3.090203629900936e-08,9.76247954607787e-07,CMS3
VKORC1L1,5.529915,1.0711468,3.203864031148931e-08,1.0099500798843983e-06,CMS3
PRELID3B,5.5292234,0.66726667,3.216513381305429e-08,1.0117333068284403e-06,CMS3
F12,5.528733,1.341445,3.225519716211658e-08,1.0123653963962362e-06,CMS3
SSBP3,5.5205936,0.5301502,3.378561650579669e-08,1.055818758579638e-06,CMS3
POLR2K,5.519345,0.6618591,3.402656748041699e-08,1.0606575182273865e-06,CMS3
TMBIM4,5.5088644,0.6030197,3.611561369261979e-08,1.1189653415814042e-06,CMS3
PTPRN2,5.5021524,0.60331696,3.751827283179769e-08,1.1574667155720272e-06,CMS3
TOX3,5.5006804,0.62555844,3.7832820881402594e-08,1.1646874156021577e-06,CMS3
DSG3,5.496332,2.718355,3.8777180645040724e-08,1.1891521251760535e-06,CMS3
BAG3,5.4942136,0.6810027,3.924549535424576e-08,1.197981165148907e-06,CMS3
TSPAN13,5.4935226,1.0803944,3.939949726490471e-08,1.2001501598440132e-06,CMS3
SET,5.479541,0.52582526,4.26430979683054e-08,1.290543667037343e-06,CMS3
GDE1,5.475549,0.70047796,4.36156519681628e-08,1.3147393090153072e-06,CMS3
PMVK,5.4749026,0.8022467,4.3775227483489546e-08,1.3168061672736182e-06,CMS3
FRMD4B,5.4707994,0.8437619,4.480097519519538e-08,1.344865788587722e-06,CMS3
HSF1,5.460185,0.65608865,4.756383237267452e-08,1.4189713208252117e-06,CMS3
IRS2,5.4486117,0.5034521,5.0764463949498386e-08,1.505145550994451e-06,CMS3
ADIPOR2,5.439402,0.90092415,5.34596241558518e-08,1.5743351656443721e-06,CMS3
CDR2,5.4366593,0.6608569,5.428875170417737e-08,1.5910838290142867e-06,CMS3
KCMF1,5.433203,0.52549297,5.5351348371413236e-08,1.6164925132663584e-06,CMS3
GSPT1,5.4330025,0.51293576,5.541366276730346e-08,1.6164925132663584e-06,CMS3
MBOAT2,5.431397,0.84579295,5.591463133212995e-08,1.6278245487818677e-06,CMS3
F11R,5.419333,0.73473114,5.982180685082104e-08,1.734592631912885e-06,CMS3
SLC9A3R2,5.4092536,0.55362344,6.328791026530574e-08,1.8277700072429314e-06,CMS3
UPP1,5.3932652,0.7663975,6.918871810930094e-08,1.9823595293534164e-06,CMS3
GALNT7,5.386464,0.68445927,7.185733701298434e-08,2.046661041812737e-06,CMS3
SLC25A33,5.3711443,0.8113964,7.823853329110665e-08,2.2240340632397288e-06,CMS3
BZW2,5.370431,0.84484786,7.854876744854836e-08,2.2268657355233665e-06,CMS3
DUSP4,5.370208,0.5603728,7.864595969676139e-08,2.2268657355233665e-06,CMS3
LONP1,5.3684907,0.8377858,7.939825088774225e-08,2.2437759611225444e-06,CMS3
FAM83H,5.362113,0.6287154,8.225396365335352e-08,2.3121614079533313e-06,CMS3
LRRC8A,5.361868,0.70315987,8.236576175081031e-08,2.3121614079533313e-06,CMS3
JTB,5.361667,0.52708834,8.245734235288678e-08,2.3121614079533313e-06,CMS3
HEBP2,5.360842,0.5015344,8.283487739044517e-08,2.3182550115325943e-06,CMS3
YAE1D1,5.359995,1.0612609,8.322435816713263e-08,2.3246587612359882e-06,CMS3
CD59,5.3573413,1.3008153,8.445555371028255e-08,2.354503673668744e-06,CMS3
DHRS9,5.3480425,1.9184248,8.891064011162972e-08,2.4691901185703843e-06,CMS3
TXNRD1,5.3471727,0.7052697,8.933874993037243e-08,2.4763263845642886e-06,CMS3
C8orf59,5.346058,0.5289499,8.989052897552601e-08,2.4868567184452884e-06,CMS3
STRAP,5.343471,0.632481,9.118339287742405e-08,2.517810136533299e-06,CMS3
LYPLA1,5.3249626,0.7167286,1.0097374970987085e-07,2.782836542004041e-06,CMS3
ZBTB10,5.3178716,1.9845638,1.0498813292732801e-07,2.887972044345074e-06,CMS3
TJP1,5.305875,0.50132245,1.1213403647069104e-07,3.072854874421266e-06,CMS3
CHPF,5.304247,0.857118,1.131391931023762e-07,3.0945387240043123e-06,CMS3
COL17A1,5.295996,0.86798537,1.1836940476652702e-07,3.207278871848089e-06,CMS3
RBM7,5.294346,1.1560574,1.19443163860481e-07,3.224296899062126e-06,CMS3
EIF3M,5.2839546,0.5011861,1.2642468955782345e-07,3.3937640690392346e-06,CMS3
RAPGEF5,5.280632,0.8874605,1.2873911945247524e-07,3.443117041326921e-06,CMS3
MFSD6,5.280253,0.64497995,1.2900577251791637e-07,3.4438828829552246e-06,CMS3
COA6,5.2742987,0.55898523,1.332645553943976e-07,3.551021826890495e-06,CMS3
ERLEC1,5.27334,0.5922453,1.3396302090574693e-07,3.563071598318479e-06,CMS3
MYCBP2,5.267386,0.6910885,1.383799290141054e-07,3.6737966842295253e-06,CMS3
RHOF,5.2606964,0.6887123,1.435108354675139e-07,3.8030371398891186e-06,CMS3
SERPINB5,5.257887,0.79907525,1.457202603387921e-07,3.842813833837181e-06,CMS3
NRARP,5.2577753,0.78477067,1.4580861115326645e-07,3.842813833837181e-06,CMS3
RCOR1,5.2460012,0.83371985,1.5543588693701013e-07,4.0522555821470265e-06,CMS3
NME2,5.2460012,0.5484515,1.5543588693701013e-07,4.0522555821470265e-06,CMS3
PLS3,5.238732,1.0857136,1.6168392857031632e-07,4.200008550240408e-06,CMS3
SHD,5.2323985,1.1516637,1.6732436996545613e-07,4.338738905072016e-06,CMS3
HOXA11-AS,5.2267346,1.9030342,1.7252979273083078e-07,4.46571300719569e-06,CMS3
RHOD,5.223992,1.1991551,1.7510646093333587e-07,4.516248454981171e-06,CMS3
MAPK6,5.223479,0.90648764,1.7559238826813975e-07,4.520722892974579e-06,CMS3
RNF126,5.2191305,0.69098,1.7976492213343607e-07,4.603572846634844e-06,CMS3
SDR16C5,5.2133775,0.8759156,1.8543304408799594e-07,4.740336952136419e-06,CMS3
PLEKHB2,5.206688,0.6535368,1.9224123750438358e-07,4.888468304834668e-06,CMS3
ITPKC,5.2005553,0.5086179,1.9869387282244658e-07,5.043687098013999e-06,CMS3
MRPS17,5.2000203,1.277804,1.992668397576882e-07,5.049372862441315e-06,CMS3
GCSH,5.1986823,1.0888053,2.007062522994435e-07,5.076955882029105e-06,CMS3
RNF139,5.1968093,1.2593459,2.0273832369791947e-07,5.119074973262672e-06,CMS3
BRD7,5.196497,0.58286613,2.0307892975691298e-07,5.119074973262672e-06,CMS3
ACER3,5.1932635,0.69900286,2.066393190655813e-07,5.199764013147646e-06,CMS3
RNF113A,5.191703,1.110146,2.0837964571301722e-07,5.225381445098174e-06,CMS3
CKAP4,5.189941,0.8757705,2.1036074324592705e-07,5.2659335536770215e-06,CMS3
FKBP10,5.1849236,0.75369245,2.161033647586568e-07,5.391033766712078e-06,CMS3
PRAP1,5.1808205,1.3206575,2.2091187545595043e-07,5.492051419196128e-06,CMS3
CBX4,5.178769,0.6088654,2.2335473937974812e-07,5.543258531879203e-06,CMS3
ZNF430,5.175558,1.2126427,2.272308356745792e-07,5.629799591396381e-06,CMS3
FAM107B,5.173997,0.7520665,2.2913844721766344e-07,5.667357594516876e-06,CMS3
AZIN1,5.172637,0.73709226,2.308134036508842e-07,5.699042896629085e-06,CMS3
SPCS3,5.1587443,0.61238766,2.486114501064276e-07,6.117617468690308e-06,CMS3
RBM26,5.1572056,0.5511724,2.506623341534669e-07,6.1367737950364006e-06,CMS3
PAFAH1B2,5.1572056,0.6086669,2.506623341534669e-07,6.1367737950364006e-06,CMS3
LAMC2,5.1548195,0.7693245,2.538750496965291e-07,6.204929212937634e-06,CMS3
CETN2,5.154396,1.2168167,2.5444967519910747e-07,6.2084862570925565e-06,CMS3
EIF1AX,5.1525006,0.5554593,2.570357871268885e-07,6.261028289459511e-06,CMS3
TMCC3,5.1516085,1.617103,2.582615484924479e-07,6.280313185104586e-06,CMS3
FKBP8,5.1502485,0.532672,2.601417122024441e-07,6.315420191035511e-06,CMS3
COX19,5.1471486,0.6290222,2.644755385877023e-07,6.399158140176362e-06,CMS3
HOXA10,5.144384,0.546373,2.6840047382072904e-07,6.472477426186881e-06,CMS3
SULF2,5.133078,0.8332086,2.8504171893986003e-07,6.832307165993777e-06,CMS3
